sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
legislation	n::立法	environmental legislation::环境立法¦subsidiary legislation::附属法例¦labour legislation::劳工法；劳动法规¦enabling legislation::赋权法例；授予权力的法例¦delegated legislation::授权立法
estate	n::房地产；财产	real estate::n. 不动产，房地产¦real estate market::房地产市场；不动产市场¦real estate development::房地产开发¦estate tax::（英）房地产遗产税¦real estate management::房地产管理；物业管理；不动产管理¦real estate tax::不动产税；固定资产税¦housing estate::住宅区；居民村；房地产业¦estate agent::房地产掮客，房地产经纪人¦real estate agent::房地产经纪人¦real estate finance::房地产金融；不动产财务¦real estate developer::房地产开发商¦real estate agency::房地产公司¦real estate broker::房地产经纪人，不动产经纪人¦real estate appraisal::房地产评估；不动产评估¦industrial estate::工业区，工业园区¦real estate financing::购置不动产借款¦real estate investment trust::不动产投资信托公司¦landed estate::地产，不动产¦fourth estate::第四等级（新闻界的别称）¦trust estate::信托财产
interrogate	v::询问，审问	
plummet	v::骤然跌落	
roll	n&v::滚动；卷；隆隆声	roll out::铺开；滚出¦work roll::工作辊¦roll in::蜂拥而来；[口]有大量的（钱财等）；[美俚]就寝；到达¦rock and roll::摇滚乐¦roll up::卷起；滚滚上升；到达；出现；积累成；迫敌退向中央¦roll gap::轧辊开度；辊间距离¦roll on::继续前进¦cold roll::冷轧， 冷轧辊¦roll forming::滚轧成形；成形轧制¦roll over::翻滚；转存；延缓付款¦roll away::vt. 滚动卷页；滚过去，慢移过去¦roll back::击退；把…压低到标准水平¦roll into::卷成，使合为一体；滚进¦roll down::滚下¦roll off::转降，辗轧¦steel roll::[化]钢辊¦spring roll::（中国的）春卷；弹簧辊；薄饼¦hot roll::热轧，热轧卷；加热压光辊¦on a roll::运气好；超常发挥；做得很顺¦roll call::点名；名单；登记表
assimilate	v::同化；吸收	
harsh	adj::粗糙的；严厉的	harsh reality::严酷的现实；残酷的现实¦harsh terms::苛刻的条件
recall	vt&n::召回；回忆	beyond recall::不可挽回；不能记起¦recall from::从…处召回¦recall to mind::回想起，回忆起，记得¦recall ratio::查全率，检索率
electronics	n::电子学(单数)	electronics industry::电子工业；电子业¦consumer electronics::消费性电子产品；家用电子产品¦power electronics::电力电子学；动力电子设备¦electronics factory::电子厂，电子工厂；无线电元件厂¦electronics engineering::电机工程¦samsung electronics::三星电子（韩国电子公司）¦digital electronics::数字电子技术；数字电子学¦philips electronics::飞利浦电子¦lg electronics::乐喜金星电子（财富500强公司之一）¦molecular electronics::分子电子学¦department of electronics::电子系¦integrated electronics::[电]集成电子学¦portable electronics::便携式电子设备
abbreviation	n::缩略语	
flee	v::逃走	flee from::vt. 从……逃出来
numb	adj::麻木的，失去知觉的	
crude	adj::天然的，粗鲁的，粗制的	crude oil::[化]原油¦crude protein::粗蛋白；天然蛋白质¦crude drug::天然药¦heavy crude::重质原油¦crude fat::粗脂肪¦crude fiber::粗纤维¦crude steel::粗钢；原钢；粗铁¦sour crude::含硫原油；酸性原油¦light crude::轻质原油¦crude production::原油的开采；半成品¦crude extract::n. 粗提物，\t粗抽提物；粗提取液¦crude benzol::[化]粗苯¦crude product::粗制品¦crude petroleum::原油¦sour crude oil::酸性原油，含硫原油¦sweet crude::低硫原油¦crude gas::原煤气；不纯煤气¦benchmark crude::标准原油¦crude phenol::n. 粗酚
metropolitan	adj::大城市的，大都市的	metropolitan area::大城市区域，大都市区；大都会区¦metropolitan museum::大都会博物馆¦metropolitan police::都市警察¦metropolitan museum of art::大都会艺术博物馆¦metropolitan area network::城域网¦metropolitan park::都市公园¦metropolitan opera::n. 纽约大都会歌剧院
notable	n::名人；显要人物¦adj::显著的；著名的	
treble	adj::三倍(重)的	
propagate	vt&vi::繁殖；增殖；传播，宣传	
converge	v::会聚，集中	
compel	v::强迫，迫使	
pointed	adj::尖锐的；率直的	pointed end::压尖端，尖头¦pointed arch::尖拱；尖券¦pointed nose::尖头
swarm	n::(昆虫)等一大群¦v::成群飞舞；蜂拥而入	swarm of::大群¦swarm into::涌入¦swarm with::充满；挤满
shrewd	adj::敏锐的，精明的，准确的	
abolish	v::废除	
imitate	v::模仿，模拟，看似	
waggon	n::货车	
definitive	adj::决定的，明确的；最后的	definitive edition::最终版；选定版；权威版
imminent	adj::迫近的，紧迫的	imminent danger::（法）迫在眉睫的危险¦imminent threat::紧迫的威胁；逼近的威胁
dispute	v&n::争论，争执，质疑	dispute resolution::[法律]调解纠纷¦in dispute::在争论中¦labor dispute::劳动争议；劳资纠纷¦dispute about::争论，辩论¦trade dispute::贸易纠纷¦beyond dispute::无疑地；没有争论余地¦labour dispute::劳资争议¦legal dispute::法律纠纷¦dispute settlement body::争端解决机构；争端处理机构；争端解决机制¦under dispute::在争论中¦settle dispute::解决争端；解决争议
horticulture	n::园艺	
semblance	n::外貌，外表	
impair	v::损害，削弱	
dismay	n&vt::灰心丧气；惊愕	
dash	n&v::撞击；冲，短跑；破折号；闯劲	dash forward::插上；向前冲¦a dash of::少许；一点儿¦dash in::急写¦dash off::v. 匆忙完成¦cut a dash::大出风头；摆阔¦dash along::v. 滔滔不绝¦dash out::v. 冲出，跑开；删去，勾掉¦em dash::n. 长破折号
outlying	adj::远离中心的，偏僻的	
catching	adj::传染性的	catch oneself::发觉自己讲错而突然住嘴¦catch up::赶上；把…缠住¦catch up with::赶上，追上；逮捕；处罚¦catch on::理解，明白；变得流行¦catch the train::赶火车¦catch fish::抓鱼，捕鱼¦catch up on::赶上；得到……消息；弥补¦catch fire::着火¦catch a glimpse of::瞥见¦catch in::被……困住，绊住¦catch at::试图抓住；死命抓住；渴望获得¦catch hold of::抓住；拥有¦catch all::打捞工具；选择全部；设立预设帐号¦catch my breath::喘气；随着我的呼吸¦catch you later::待会见，回头见¦catch phrase::妙句；引人注意的文句¦catch the eye::引人注目¦catch a bus::赶公共汽车；赶公交车¦lock catch::锁扣¦catch a ball::接球；接住球
deter	v::阻止，使不敢，吓住	
influx	n::汇集，流入	water influx::水侵；水侵量
deplore	"vt::哀悼, 非难"	
pathos	n::引起怜悯的因素	
namely	adv::即；也就是	
relinguish	vt::放弃；撤回	
sole	n::脚底¦adj::单独的；惟一的	sole agent::n. 总代理商；独家经营商；包销人¦sole agency::独家经理；唯一代理¦sole purpose::唯一目的¦sole proprietorship::独资（经营）¦sole discretion::全权处理¦sole distributor::独家经销商；独家发行人¦sole proprietor::独资企业；独资经营者¦shoe sole::聚氨酯鞋底料，鞋底¦rubber sole::橡胶鞋底；橡胶底¦sole right::独占权¦sole arbitrator::独任仲裁员
thaw	vt&vi::(冰雪)融化；使变得友善¦n::解冻	thaw out::融化，解冻
fling	v&n::掷，抛；猛烈地移动；投入	fling off::发出；甩掉；挫败¦at one fling::一举，一鼓作气地，一气呵成地¦fling up::vt. 向上猛抛¦fling at::扔向；抨击
sufficient	adj::足够的，充分的	sufficient condition::充分条件¦sufficient for oneself::不靠他人，不受他人影响¦necessary and sufficient condition::充要条件；必要且充分的条件¦sufficient for::足够的；充分的¦sufficient and necessary condition::充要条件；充分必要条件¦sufficient quantity::足够的数量；适宜量¦more than sufficient::绰绰有余¦sufficient cause::充分理由；充足原因¦self sufficient::自给自足的；极为自负的
morality	n::道德，美德；伦理体系	social morality::社会道德¦public morality::公共道德；社会道德¦morality play::道德剧；寓意剧
shave	v&n::剃；刮	shave off::剃掉，刮掉¦close shave::侥幸的脱险；差一点发生的意外
liaison	n::联络	liaison office::联络处¦liaison officer::n. 联络官¦liaison committee::联络委员会
flip	v::把往上抛，掷，抽打¦v::用指轻弹	flip side::[引申]另一方面；唱片的反面；相对立的人¦flip chip::倒装法；覆晶技术¦flip over::翻页；翻过来¦flip a coin::抛钱币（决定）¦flip out::[俚]乐死了；失控；疯掉¦back flip::后空翻¦flip saunders::菲利普·桑德斯（篮球教练）
shear	v::剪	shear stress::[物]剪应力；剪切应力¦shear strength::切变强度¦shear wall::剪力墙；抗震墙，耐震壁；风力墙¦shear zone::剪切区域；剪碎带¦shear rate::剪切率；切变速率¦shear deformation::剪力变形；剪切形变¦shear force::剪力，剪切力¦shear wave::横波；剪波¦shear test::[机]抗剪试验¦shear lag::剪滞；剪力滞后¦flying shear::飞剪；飞剪机；随动剪机¦shear strain::剪切应变¦shear modulus::剪切模量；剪切弹性模数¦shear wall structure::剪力墙（结构墙）结构¦high shear::高剪切¦shear flow::剪切流¦direct shear::直剪；直接剪切¦shear resistance::[流体力学]剪切阻力；剪切强度¦shear failure::剪切破坏；剪破裂；剪切断裂¦wind shear::风切变；乱流
hover	v::(鸟)盘旋，翱翔，(人)逗留在附近徘徊	hover over::在…盘旋
wax	n::蜡，蜂蜡¦v::上蜡	paraffin wax::n. 固体石腊¦on the wax::正在变大；在增加¦wax printing::蜡染¦wax emulsion::蜡乳化液；乳状石蜡¦wax gourd::冬瓜¦wax and wane::月圆月缺；盈亏；兴衰成败¦wax pattern::蜡模¦microcrystalline wax::微晶蜡；微晶石蜡¦wax oil::蜡油¦polishing wax::打光蜡¦lost wax casting::蜡模铸造；失蜡铸造；脱蜡铸造¦floor wax::地板蜡；擦地板布¦wax paper::蜡纸（用于包装物品）¦wax museum::蜡像馆¦carnauba wax::巴西棕榈蜡；加诺巴蜡¦sealing wax::封蜡；火漆¦hard wax::硬蜡¦slack wax::疏松石蜡；粗蜡¦petroleum wax::石油蜡；石蜡¦ear wax::[医]耳垢
gaily	adv::快乐地，娱乐地	
slide	n::滑；幻灯片¦v::滑动	on the slide::在滑板上；日益恶化¦slide show::放映幻灯片¦slide block::滑块；滑架¦slide down::滑下，往下滑；塌陷；下滑音¦slide into::不知不觉陷入；不知不觉地沾染上¦slide rail::滑道，滑轨¦slide valve::n. [机]滑阀¦slide way::滑道，滑槽¦slide plate::滑块；滑板滑床板¦slide fastener::n. 拉链¦water slide::水滑道¦slide projector::幻灯机，幻灯片放映机¦slide guide::滑动导轨，导轨¦slide over::略过；回避¦glass slide::载玻片；玻璃载片¦slide bearing::滑动轴承¦slide gate::滑动闸门，滑动水口；滑门¦microscope slide::显微镜载片；显微镜载物片¦slide switch::滑动开关¦slide up::上滑音；滑盖式
lump	n::团，块，肿块¦v::合在一起，结块	lump sum::总额；汇总¦lump coal::块煤¦lump ore::块矿¦in a lump::一次全部地¦lump sum payment::整笔付款；一次总算，一次总付¦lump sum price::混合价格；总括价格；整笔计价格
