internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
preside	prɪ'zaɪd	prɪ'zaɪd	v::主持，担任会议主席	preside over::主持；负责¦preside at::主持；负责	I shall be pleased to preside at your meetings.::我很高兴主持你们的会议。¦Mr Justice Waller, presiding judge for the northeast::沃勒法官，东北地区的首席法官
president	'prɛzɪdənt	'prezɪd(ə)nt	n::总统；董事长；校长；主席	vice president::副总统；副主席¦former president::前任总统¦senior vice president::高级副总裁¦executive vice president::执行副总裁¦honorary president::名誉会长，名誉主席¦acting president::代总统；代理校长；代理总裁¦president elect::当选总统（尚未就职的）¦deputy president::副行长；副校长¦assistant president::总裁助理¦president office::校长办公室	President Bush::布什总统
presidential	'prɛzədɛnʃəl	,prezɪ'denʃəl	adj::总统的；首长的；统辖的	presidential election::总统选举；总统大选¦presidential candidate::总统候选人¦presidential palace::总统府¦presidential suite::总统套房；总统套间¦presidential system::总统制¦presidential primary::总统预选¦presidential medal of freedom::总统自由勋章	a presidential election::总统大选¦the party’s presidential candidate::该党的总统候选人
presidium	prɪ'sɪdɪəm	prɪ'sɪdɪʌm; -'zɪ-	n::主席团		
press	prɛs	pres	v::压；按；逼迫；紧抱¦n::压；按；新闻；出版社；[印刷] 印刷机	press conference::记者招待会，新闻发布会¦in the press::正在印刷；即将出版¦press the button::按钮；按键¦press down::压¦hydraulic press::液压机；水压机；油压机¦associated press::美联社¦printing press::印刷机¦press release::新闻稿；通讯稿¦press in::压入¦press for::迫切要求¦press on::强加于；向前推进¦filter press::压滤机¦hot press::热压；热压机¦press any key::按任意键¦power press::动力印刷机，电动印刷机¦press machine::压床¦offset press::胶印机¦oxford university press::牛津大学出版社¦press ahead::继续进行¦freedom of the press::新闻自由；出版自由	Manville kept his back pressed flat against the wall.::曼维尔后背紧紧地贴在墙上。¦She pressed the gas pedal and the car leapt forwards.::她踩下油门，汽车向前冲了出去。¦He pressed a card into her hand before leaving.::离开之前他往她手里塞了一张卡片。
pressing	'prɛsɪŋ	'presɪŋ	n::压；冲压件¦adj::紧迫的；迫切的；恳切的¦v::压；按；熨烫衣物（press的ing形式）	hot pressing::热压烧结；热压制¦pressing machine::压力机；压床¦isostatic pressing::n. 等静压制；等静压成形；等压压制；均压法¦pressing issues::紧急问题¦cold pressing::冷榨；冷压合；低温压榨¦pressing in::压入¦hot isostatic pressing::热等静压；高温等静力压制¦forging and pressing::锻压¦pressing die::压模；模压卒火¦filter pressing::压滤¦die pressing::模压；模制	The CD, released in October, sold out a first pressing of 1,500 in just four months.::这张光盘发行于10月份，第一批压制的1,500张仅仅四个月就销售一空。
pressure	'prɛʃɚ	'preʃə	n::压力；压迫，[物] 压强¦v::迫使；密封；使……增压	under pressure::面临压力，在压力之下；受到压力¦high pressure::高压，高气压；高度紧张¦blood pressure::n. 血压¦low pressure::低气压；松懈¦pressure drop::压力下降，压强下降¦hydraulic pressure::[机]液压；水压¦pressure vessel::压力容器¦high blood pressure::高血压¦water pressure::水压力¦air pressure::气压；风压¦under the pressure of::在…压力下¦negative pressure::[物]负压；[计]负压力¦atmospheric pressure::大气压力，大气压强¦gas pressure::气压；气体压力；煤气压力¦pressure difference::压力差；差压；压力补偿器；气压梯度¦pressure water::加压水¦pressure control::压力控制¦pressure gradient::气压梯度¦differential pressure::[物]压差¦static pressure::静压	They are putting pressure on people to vote yes.::他们正在向民众施加压力，要求他们投赞成票。¦You must never give in to pressure .::你绝不能屈从压力。
prestige	prɛ'stidʒ	pre'stiː(d)ʒ	n::威望，声望；声誉		The king wanted to enhance his prestige through war.::国王想通过战争来提高自己的威信。¦This little-known British firm has now gained considerable prestige .::这家名不见经传的英国公司如今已经声名鹊起。¦the personal prestige attached to owning a large property::拥有大房子所带来的体面
prestigious	prɛ'stɪdʒəs	pre'stɪdʒəs	adj::有名望的；享有声望的		a prestigious literary award::享有盛名的文学奖¦a highly prestigious university::赫赫有名的大学
presumably	prɪ'zuməbli	prɪ'zjuːməblɪ	adv::大概；推测起来；可假定		It’s raining, which presumably means that your football match will be cancelled.::下雨了，这可能意味着你们的足球比赛要取消。
presume	prɪ'zum	prɪ'zjuːm	v::假定；推测；擅自；意味着		I presume you're here on business.::我想你是来这儿出差的吧。¦"Had he been home all week?"—"I presume so."::“他整个星期都在家吗？”—“我想是。”
presumption	pri'zʌmpʃən	prɪ'zʌm(p)ʃ(ə)n	n::放肆，傲慢；推测	presumption of innocence::无罪推定	She was enraged by his presumption.::她被他的放肆激怒了。
presuppose	,prisə'poz	priːsə'pəʊz	v::假定；预料；以…为先决条件		The idea of heaven presupposes the existence of God.::天堂的说法首先认定了上帝的存在。
pretence	pri'tens, 'pri:t-	prɪ'tens	n::假装；借口；虚伪	false pretences::诈骗	It was all an elaborate pretence .::这一切都是精心的伪装。
pretend	prɪ'tɛnd	prɪ'tend	v::假装，伪装，佯装¦adj::假装的		Let’s pretend we’re on the moon.::我们假装自己是在月球上吧。¦He’s not asleep – he’s just pretending.::他并没睡着，不过是装睡而已。¦To pretend ignorance of the situation would be irresponsible.::装作不知情是不负责任的做法。¦I can’t marry her and to pretend otherwise would be wrong.::我不可以娶她，装作娶她无妨是不对的。
pretentious	prɪ'tɛnʃəs	prɪ'tenʃəs	adj::自命不凡的；炫耀的；做作的		a pretentious film::矫饰的电影
pretext	'pritɛkst	'priːtekst	n::借口；托辞¦vt::以…为借口	on the pretext of::以...为借口¦find a pretext for::为…找口实	He’ll phone on some pretext or other.::他会以这样或那样的理由打电话的。
pretty	'prɪti	'prɪtɪ	adj::漂亮的；可爱的；优美的¦adv::相当地；颇¦n::有吸引力的事物（尤指饰品）；漂亮的人	pretty soon::不久¦pretty good::非常好¦pretty much::几乎¦pretty girl::漂亮女孩¦pretty face::漂亮脸蛋¦pretty sure::相当肯定¦pretty woman::漂亮女人；漂亮的女人¦pretty boy::漂亮男孩；脂粉气十足的男人；矫揉造作的男子¦pretty penny::一大笔钱；大数目之金钱¦pretty soft::[美国俚语]容易的；便当的；合算的¦pretty pass::尴尬，糟糕；困境	a pretty little girl::漂亮的小姑娘¦Maria looks much prettier with her hair cut short.::玛丽亚把头发剪短好看多了。
prevail	pri'vel	prɪ'veɪl	v::盛行，流行；战胜，获胜	prevail over::胜过；占优势¦prevail on::说服，劝说¦prevail upon::说服；诱使¦prevail with::劝说；说服	Justice will prevail.::正义终将获胜。
prevalent	'prɛvələnt	'prev(ə)l(ə)nt	adj::流行的；普遍的，广传的		the prevalent belief in astrology::对占星术的普遍相信
prevent	pri'vɛnt	prɪ'vent	v::预防，防止；阻止	prevent from::阻止，制止；妨碍¦prevent and control pollution::防治污染；预防和控制污染	The rules are intended to prevent accidents.::这些规定旨在预防事故。¦We were prevented from entering the site.::我们被阻止进入现场。¦Wrap small ornaments in paper to prevent them being damaged.::把小饰品用纸包上以免损坏。
prevention	pri'vɛnʃən	prɪ'venʃn	n::预防；阻止；妨碍	fire prevention::防火¦disease prevention::疾病预防¦pollution prevention::污染预防；防止污染¦disaster prevention::防灾¦flood prevention::防汛；防洪；防洪工作¦epidemic prevention::防疫；疫病防治；流行病预防¦corrosion prevention::防腐蚀¦accident prevention::事故预防；安全措施¦rust prevention::防锈处理¦prevention first::预防为主¦sand prevention::防砂¦loss prevention::损失预防；预防损失的措施¦smoke prevention::防烟法	a fire prevention officer::消防官员¦You know what they say, prevention is better than cure (= it is better to stop something bad from happening than to remove the problem once it has happened ) .::正所谓预防胜于治疗。
previous	'privɪəs	'priːvɪəs	adj::以前的；早先的；过早的¦adv::在先；在…以前	previous year::前一年¦previous generation::前代；当代¦previous period::前期¦previous page::上一页，前一页；返回上一级菜单¦previous question::（国会议事程序中作为动议提出的）先决问题¦previous frame::上一帧；前一帧¦previous arrangement::前次安排	She has a teenage daughter from a previous marriage.::她有个出自前一次婚姻的十几岁的女儿。
prey	pre	preɪ	v::捕食；掠夺；折磨¦n::捕食；牺牲者；被捕食的动物	prey on::v. 捕食；掠夺¦easy prey::◎容易猎取的动物¦fall prey to::成为...的牺牲品；深受...之害¦bird of prey::猛禽；食肉鸟¦prey upon::掠夺，折磨；捕食¦beast of prey::食肉兽，猛兽	The effect was to disrupt the food chain, starving many animals and those that preyed on them.::后果是打断食物链，使许多动物和捕食它们的动物饿死。
price	praɪs	praɪs	n::价格；价值；代价¦v::给……定价；问……的价格	reasonable price::合理价格；价格公道¦low price::低价；廉价¦market price::市价¦unit price::[商]单价¦competitive price::竞争价格；公开招标价格¦sale price::n. 特价；廉价¦oil price::油价；原油价格¦stock price::股票价格；股票行市；交易所卖价¦in price::在价格上；在价格方面；就价格而言¦high price::高价格¦best price::最佳价格¦at a price::以很高的代价；以较高的价格¦cost price::成本价格¦lowest price::最低价格¦share price::[经]股价¦price list::价目表¦price index::n. 物价指数¦lower price::低价；降价¦at the price of::adj. 以……的价格；以……的代价¦purchase price::买价，进货价格	They may pay a high price for their few years of glory.::为了短短几年的辉煌，他们也许要付出高昂的代价。
