adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
prize	praɪz	praɪz	n::奖品；奖赏；战利品¦v::珍视；捕获；估价¦adj::获奖的	nobel prize::诺贝尔奖¦first prize::一等奖¦nobel peace prize::诺贝尔和平奖¦prize winner::得奖者¦pulitzer prize::普利策奖¦prize money::（旧时出售捕获船货物后分给立功官兵的）捕获物奖金¦grand prize::特奖¦cash prize::n. 现金奖励（赏）¦consolation prize::安慰奖¦win first prize::赢得头奖；获一等奖；得第一名¦booker prize::布克文学奖¦booby prize::末名奖品	In this month’s competition you could win a prize worth £3,000.::在本月的竞赛中您可以赢得价值3,000英镑的奖品。¦The first prize has gone to Dr John Gentle.::获得一等奖的是约翰·金特尔博士。¦The prizes are awarded (= given ) every year to students who have shown original thinking in their work.::这些奖项每年颁发给在学习中表现出创造性思维的学生。¦The total prize money was £30,000.::奖金总额为3万英镑。
probability	'prɑbə'bɪləti	prɒbə'bɪlɪtɪ	n::可能性；机率；[数] 或然率	probability distribution::概率分布¦probability theory::概率论¦probability density::概率密度；几率密度¦failure probability::失效概率¦probability density function::机率密度函数；概率密度分布函数¦probability analysis::n. 概率分析¦high probability::高可能性¦detection probability::探测概率；发现概率¦probability and statistics::概率论与数理统计；概率与统计¦probability statistics::概率统计¦error probability::错误概率；概率误差¦transition probability::转移概率；跃迁概率¦conditional probability::条件概率；条件几率¦theory of probability::概率论¦probability distribution function::概率分布函数¦in all probability::多半，很可能¦joint probability::联合机率，联合概率¦damage probability::损伤概率¦probability of failure::故障几率；失效概率；崩塌概率¦posterior probability::后验概率；事后概率	You must decide whether, on the balance of probabilities , he committed the crime.::你们一定要权衡正反两方面的可能性，然后再裁定他是否犯罪。
probe	prob	prəʊb	n::探针；调查¦v::调查；探测	probe into::探究，探索¦electron probe::电子探针¦fluorescent probe::荧光探针；荧光探测器¦probe method::探测法；探针测¦lunar probe::月球探测器¦space probe::航天探测器¦ultrasonic probe::[医]超声纳探针；超声波探头¦dna probe::[生物工程]DNA探针¦measuring probe::测量探头；测量探针¦oxygen probe::氧探针¦temperature probe::温度探头；测温传感器；温度探测器；温度探针¦probe test::探头检测；探测试验；探头试验¦sensing probe::n. 传感探头，感测探针；敏感元件¦pressure probe::压力探头；压力传感器¦current probe::电流探针¦thermal probe::热探针；测温探针¦focusing probe::聚焦探头¦conductivity probe::电导探针¦test probe::测试探针；测试探头	a police corruption probe::对警察贪污行为的彻底调查
procedure	prə'sidʒɚ	prə'siːdʒə	n::程序，手续；步骤	working procedure::运行程序；办理手续¦criminal procedure::刑事诉讼程序¦civil procedure::民事诉讼；民事诉讼法；民事诉讼程序¦design procedure::设计程序；计算方法¦welding procedure::焊接工艺；焊接程序¦operation procedure::n. 操作规程；作业流程¦construction procedure::施工程序，施工步骤¦administrative procedure::管理程序，行政程序¦operating procedure::操作程序，作业程序¦production procedure::生产程序¦civil procedure law::民事诉讼法¦calculation procedure::计算方法；计算程序；计算方案¦control procedure::控制程序¦test procedure::试验程序；检验法；检查法¦general procedure::一般程序；通用过程，通用程序¦legal procedure::法律程序，法定程序¦stored procedure::存储过程；预存程序¦rules of procedure::议事规则；程序规则¦procedure control::过程控制；工序技术检查¦standard procedure::标准程序；标准流程	On board, we were given the usual talk on safety procedures (= what to do if an accident happens, or to prevent an accident ) .::在飞机上，我们听了例行的飞行安全讲解。
process	'prɑsɛs	'prəʊses	v::处理；加工¦n::过程，进行；方法，步骤；作用；程序；推移¦adj::经过特殊加工（或处理）的	process of::…的过程¦in the process of::在…的过程中¦in the process::在过程中；在进行中¦in process::过程中的；在进行中¦production process::生产流程¦development process::发展进程，显色法；开发流程，开发程序¦technological process::工艺流程¦process control::过程控制；程序控制¦manufacturing process::制造过程；制造工艺；生产过程¦design process::设计过程，设计程序；设计加工¦forming process::成形工序，成形过程；成形法¦new process::新工艺¦process flow::工序流程¦working process::工作过程；制作过程¦business process::业务流程；业务处理¦in process of::正在；在…过程中¦developing process::发展过程；展开法¦welding process::焊接过程；熔接法¦process technology::加工工艺学¦process conditions::工艺条件；生产过程条件	Goats’ cheese may be processed in many ways.::山羊奶干酪可以有多种加工方法。¦Two million workers are employed processing goods for electronic firms.::200 万名工人受雇为电子公司加工产品。
produce	prə'dus	prə'djuːs	v::生产；引起；创作；生育，繁殖¦n::农产品，产品	farm produce::农产品¦dairy produce::乳制品¦produce electricity::发电¦produce results::产生结果¦native produce::土特产品，土产品¦capacity to produce::生产能力¦produce evidence::提出证据¦mass produce::批量生产¦produce grain::生产粮食；谷物制造¦produce department::生产部	New drugs are producing remarkable results .::新药正在产生显著的效果。¦a rise in sea level produced by climatic change::由气候变化引起的海平面升高¦As a policy, it did not produce the desired effect .::作为一项政策，它并未产生预期的效果。
productive	prə'dʌktɪv	prə'dʌktɪv	adj::能生产的；生产的，生产性的；多产的；富有成效的	productive forces::生产力¦productive capacity::生产能力¦productive efficiency::生产效率；生产效能¦productive maintenance::生产维修¦productive time::运算时间；生产时间¦total productive maintenance::全面生产维护¦productive investment::生产性投资	Most of us are more productive in the morning.::我们大多数人在早上更有效率。¦a highly productive meeting::富有成效的会议
professional	prə'fɛʃənl	prə'feʃ(ə)n(ə)l	adj::专业的；职业的；职业性的¦n::专业人员；职业运动员	professional development::专业发展¦professional knowledge::专业知识；专门知识¦professional design::专业设计；设计合理¦professional service::专业服务¦professional training::职业培训¦professional team::专业团队；职业队¦professional education::职业教育；专业教育¦professional experience::工作经验；工作经历；职业经验¦professional staff::专门人员¦professional skill::专业技能¦professional qualification::专业资格；职称等级¦professional spirit::n. 专业精神¦professional practice::专业实习¦professional manager::职业经理人；专业管理者¦professional organization::专业组织¦professional competence::专业技能¦professional course::专业课程，专业课¦professional commitment::专业承诺¦professional standard::行业标准；专业标准；职业标准¦professional dedication::敬业精神	This business plan looks very professional.::这个商业计划看上去很有专业水平。¦a more professional approach to work::更专业的工作方法
proficiency	prə'fɪʃənsi	prə'fɪʃ(ə)nsɪ	n::精通，熟练	proficiency in::熟练；精通¦english proficiency::英语水平；英文能力¦proficiency test::水平测试；熟练测验¦proficiency testing::能力验证；技术检查；熟练测试	I brought her proficiency up to the required level.::我把她的熟练程度提高到所规定的水平。¦With study and practice, almost anyone can do it with some level of proficiency, but most people don't learn how to think critically or analytically—nor are they even aware of its value.::通过学习和实践，几乎任何人都能以不同的熟练程度来掌握它，但是大多数人都不会去学习如何进行批判性或分析性思维，或者说，他们根本意识不到其价值。¦How do you think of your proficiency in written and spoken English?::你认为你的书面 英语和 口语熟练程度如何？
proficient	prə'fɪʃnt	prə'fɪʃ(ə)nt	adj::熟练的，精通的¦n::精通；专家，能手	proficient in::精通；熟练	a proficient typist::熟练的打字员
profile	'profaɪl	'prəʊfaɪl	n::侧面；轮廓；外形；剖面；简况¦v::描…的轮廓；扼要描述	high profile::鲜明的姿态；引人注目的高姿态；明确的立场¦low profile::低姿态；低姿态的人¦company profile::公司简介；公司概况；企业介绍¦tooth profile::齿形；齿廓¦temperature profile::温度曲线；温度剖面图；温度轮廓¦surface profile::表面轮廓¦cam profile::凸轮轮廓；实际廓线¦profile error::齿形误差；廓形误差¦user profile::[计]用户预置文件¦velocity profile::速度变化图¦profile modification::齿形修整¦soil profile::土壤剖面；土层剖面；泥土成分；土剖面¦profile modeling::仿形；靠模¦involute profile::渐开线齿形；渐开线齿廓¦profile analysis::个人能力测验图分析¦blade profile::叶片轮廓；叶片剖面；叶型桨叶轮廓¦keep a low profile::保持低姿态；避免引人注目¦depth profile::沿深度掺杂分布图；深度剖面¦roll profile::轧辊辊型¦personal profile::个人档案；个人资料	Dani has a lovely profile.::达尼的侧面轮廓很好看。
