textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
standard	'stændɚd	'stændəd	n::标准；水平	quality standard::质量标准¦national standard::国家标准¦living standard::生活水平，生活标准¦international standard::国际标准¦standard of living::生活水平；生活标准¦standard deviation::标准偏差¦up to standard::达到标准；合乎标准¦industry standard::产业标准¦technical standard::技术标准¦standard method::标准方法；标准措施¦relative standard::相对标准；相关标准¦discharge standard::排放标准¦double standard::双重标准¦standard solution::[化]标准溶液¦accounting standard::会计准则¦gold standard::金本位，金本位制¦standard parts::标准零件¦internal standard::[物化]内标准；内部标准¦standard sample::标准样品¦raise the standard::◎举兵	Students have to reach a certain standard or they won’t pass.::学生必须达到某一标准，否则无法通过。¦The airline has rigorous safety standards.::这家航空公司有严格的安全标准。
row	ro	rəʊ	n::一排；一列；一行	in a row::连续；成一长行¦front row::前排，头一排¦single row::单排；单行¦in row::行内的；在行内¦death row::死囚牢房（等于death house）¦row over::v. 从容胜过；一路领先¦row spacing::行距¦row out::使划得精疲力尽¦skid row::贫民区¦row a boat::划船¦row space::行距；行空间¦row house::墙壁相连成排的房屋	row upon row (= many rows ) of shelves stacked with books::一排又一排堆满书的架子
in a row			::连续几次地		I’ve beaten her three times in a row . ＃::我已经连续赢了她三次。
keyboard	'ki'bɔrd	'kiːbɔːd	n::（计算机等）键盘；琴键	keyboard input::键入，键盘输入¦keyboard shortcuts::[计]快捷键¦keyboard layout::[计]键盘布局¦keyboard entry::键盘输入¦keyboard instrument::键盘乐器¦piano keyboard::钢琴键盘；琴键¦keyboard operator::电脑操作员；键盘操作员	a computer keyboard::计算机键盘¦Chris Kelly (guitar) and Benny Hayes (keyboards and vocals)::克里斯·凯利(吉他手)和本尼·海斯(键盘手和主唱)
instruction	ɪn'strʌkʃən	ɪn'strʌkʃ(ə)n	n::指示；命令	classroom instruction::课堂教学；课程设计¦instruction set::指令组（表），指令系统¦work instruction::作业指导；工作指令¦instruction manual::安装手册，操作工序说明书；工艺规范¦working instruction::操作说明书；工作细则¦medium of instruction::教学媒体，教学方法¦operation instruction::使用说明；操作指令¦computer-aided instruction::电脑辅助教学¦instruction book::说明书¦language of instruction::教学语言¦special instruction::特殊指令，专用指令¦operating instruction::操作指南；使用说明书¦instruction sheet::n. 指示表¦scaffolding instruction::支架式教学¦written instruction::书面指示¦direct instruction::直接指令¦programmed instruction::程序教学¦macro instruction::广义指令，宏指令¦machine instruction::机器指令¦basic instruction::[电]基本指令	My instructions are (= I have been told ) to give the package to him personally.::我接到的指示是亲手把包裹交给他。¦Make sure you carry out the doctor’s instructions.::你一定要遵照医生的嘱咐。
double	'dʌbl	'dʌb(ə)l	v::加倍；是...的两倍¦adj::两倍的；加倍的	double layer::双层¦double room::双人房¦double deck::n. 楼中楼；双层甲板¦double star::双星（紧密相连的二颗星，借望远镜始可分辨者）¦double bed::双人床¦on the double::快速地¦double effect::双效；双重效果；双重影响¦double side::双边的；双面板；双面材质¦double bond::双键¦double taxation::[经]双重征税；[经]重复课税¦double click::双击；双击鼠标¦double helix::[生化]双螺旋¦double track::双声道，双声轨（录音磁带）¦double line::双线（线路）；二重线；隔行¦double wall::双重壁；双层墙¦double loop::双箕；双环路¦double decomposition::复分解¦see double::看成重影¦double frequency::倍频，双频；双频率的¦double ninth festival::重阳节	The church has doubled its membership in the last five years.::这座教堂的会众在过去的五年里增加了一倍。¦The city was enclosed by walls of double thickness. ＃::该城被两倍厚的墙围了起来。
shall	ʃəl	ʃæl; ʃ(ə)l	v::将要；将会	shall we::我们…好吗¦what shall i do::我该怎么办¦shall we dance::我们跳舞吧	We shall be away next week.::我们下周要出去。¦I shall have to be careful.::我得当心。¦I’ve never liked her and I never shall.::我从来都不喜欢她，以后也不会。¦We shall have finished by Friday.::星期五前我们就能完成了。
overcome	,ovɚ'kʌm	əʊvə'kʌm	v::克服；战胜	overcome difficulties::克服困难；战胜困难	He struggled to overcome his shyness.::他努力克服自己的羞怯。¦Her financial problems could no longer be overcome.::她的经济困难再也无法解决。¦Australia overcame the Netherlands 2-1. ＃::澳大利亚队2比1战胜了荷兰队。
make a mess			::弄得一团糟，一塌糊涂		Many people make a mess of handling money.::很多人不会理财。
graduate	ˈɡrædʒuˌet	ˈɡradʒʊeɪt	v::毕业；获得学位	graduate student::n. 研究生；毕业生¦graduate school::研究所，研究院¦graduate from::v. 从…毕业¦college graduate::大学毕业生；大专以上学历¦graduate in::毕业于...学科¦fresh graduate::刚毕业的大学生¦graduate from college::大学毕业¦graduate study::研究生学习¦graduate program::研究所课程¦post graduate::研究生¦graduate diploma::硕士文凭；研究生文凭¦graduate certificate::研究生证书，硕士证书；毕业证书	When the boys graduated from high school, Ann moved to a small town in Vermont.::男孩们中学毕业后安迁到了佛蒙特州的一座小镇。
keep one’s cool			::沉住气；保持冷静		
ours	ɑrz	aʊəz	pron::我们的		I’ll show you to your room. Ours is next door.::我带你去你的房间，我们的房间在你的隔壁。¦The main difference between our brains and those of monkeys is that ours are bigger.::我们的大脑和猴子的大脑之间的主要差别在于我们的要大些。¦No, that’s not ours.::不，那不是我们的。
senior	'sinɪɚ	'siːnɪə; 'siːnjə	adj::级别（或地位）高的	senior high::高中¦senior high school::高中¦senior management::高级管理¦senior engineer::[计]高级工程师¦senior middle school::高中¦senior official::高级官员；资深官员¦senior vice president::高级副总裁¦senior school::n. 大龄儿童学校（学生为英国的11岁以上儿童）¦senior manager::高级管理人员，高级经理¦senior staff::高级职员；高级人员¦senior executive::高级主管；高级执行官¦senior citizen::老年人¦senior year::大四；高三¦senior member::高级会员；资深成员；资深会员¦senior officer::高级职员，高级军官¦senior economist::高级经济师¦senior student::大四学生；高年级学生¦senior high school student::高中生¦senior director::资深总监¦senior editor::高级编辑，资深编辑	the senior Democrat on the House committee::众议院委员会中的资深民主党人¦White men hold most of the jobs in senior management .::白人占据高级管理层的大部分职位。¦the senior partner in a law firm::律师事务所里的资深合伙人
senior high (school)			::高中		
text	tɛkst	tekst	n::文本；课文	full text::全文¦text file::[计]文本文件¦original text::原文¦text message::文字讯息，正文消息¦text editor::文字编辑器，文本编辑器¦text box::文字框；正文框¦source text::源文本；源程序正文¦text book::课本，教科书¦plain text::纯文本；没有加密过的文件¦text messaging::手机短消息发送¦text analysis::文本分析；篇章分析¦sample text::手机文字输入的软件¦text linguistics::话语语言学¦automatic text::[计]自动加入文字¦text string::本文串¦text area::[计]文本区域；多行文本输入区¦text to speech::文转声；语音合成；文本转语音¦clear text::[电脑]明码通信报文（等于plain text）¦text formatting::[计]文本格式¦text link::文字链接；正文链接	There should not be too much text in children’s books.::儿童书籍里不应该有太多的文字。¦Some of the original text has survived. ＃::一些原始教材保留了下来。
level	'lɛvl	'lev(ə)l	n::标准；水平	level of::…的水平；…的等级¦high level::高层；高电平¦basic level::基本水平¦on the level::诚实的；可靠的；坦率地；老实说¦management level::管理水平；管理[层]级¦advanced level::n. （英国）一般学历证书考试优等（等于A level）¦water level::n. 水位；水平面；水准仪¦low level::低水平；低能级¦certain level::某一水平¦technical level::技术层面，技术水平¦service level::服务水平¦sea level::海平面¦national level::国家级；国家层次¦level with::对……说实话¦lower level::下水平，低电平¦international level::国际层面，国际水准¦liquid level::液面¦top level::最高级的¦price level::物价水平¦income level::[经]收益水平	Inflation fell to its lowest level in 30 years.::通货膨胀降至30年来最低点。
degree	dɪ'ɡri	dɪ'griː	n::度数；程度；（大学的）学位	degree of::…的程度；…的学位¦high degree::高度；高地位¦bachelor degree::学士学位；大学本科学位证书¦a certain degree::到某种程度¦in some degree::在某种程度上¦master degree::硕士学位；研究生¦bachelor's degree::学士学位¦master's degree::n. 硕士学位¦college degree::大学文凭；大学学位¦to some degree::在某种程度上；有点，稍微¦university degree::大学学历；本科学历¦to a degree::在某种程度上，在一定程度上；非常¦in one's degree::按照其本身的情况(或程度)¦degree of freedom::自由度¦to what degree::达到何种程度，如何¦degree of automation::自动化程度¦degree of difficulty::难度系数，难度¦degree of satisfaction::满意度¦vacuum degree::真空度¦degree of accuracy::精确度	Preheat the oven to 425 degrees.::把烘箱预热至425度。¦Newspapers vary in the degree to which they emphasize propaganda rather than information.::报纸重宣传轻资讯的程度各不相同。¦an Honours degree::荣誉学位
manager	'mænɪdʒɚ	'mænɪdʒə	n::经理；经营者	general manager::总经理¦project manager::项目经理¦sales manager::销售经理；营业主任¦department manager::部门经理¦assistant manager::协理，副经理¦fund manager::基金经理，财务经理；基金管理人¦marketing manager::市场销售经理¦production manager::生产经理；制片人¦account manager::客户经理¦business manager::业务经理；营业管理员¦professional manager::职业经理人；专业管理者¦product manager::产品经理；生产部经理¦office manager::办公室经理；业务经理¦senior manager::高级管理人员，高级经理¦hr manager::人事经理；人力资源经理；行政经理¦deputy general manager::副总经理¦finance manager::财务经理；财政经理¦bank manager::银行分行经理¦program manager::程序管理器¦quality manager::质量经理；品质经理	one of our regional managers::我们的一位地区经理¦a middle manager in a computer company::一家计算机公司的中层管理人员
