abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
practically	'præktɪkli	'præktɪkli	adv:: 几乎， 简直； 实际上::Practically means almost, but not completely or exactly		He'd known the old man practically all his life.::他几乎从小就认识那位老人。	adv::实际地；几乎；事实上::almost, nearly, actually, really, most	adj::practical:: 实际的；实用性的¦adj::practicable:: 可用的；行得通的；可实行的¦adv::practicably:: 实用地；能用地¦n::practice:: 实践；练习；惯例¦n::practicality:: 实用性，实际性；实际，实例¦n::practicability:: 实用性，可行性¦vi::practice:: 练习；实习；实行¦vt::practice:: 练习；实习；实行					
inheritance	ɪn'hɛrɪtəns	ɪn'herɪtəns	n:: 遗传； 继承， 继承物； 遗产， 遗赠::money, property etc that you receive from someone who has died	inheritance tax::[美]遗产税，继承税¦inheritance hierarchy::继承层次；继承体系；继承阶层架构¦autosomal dominant inheritance::常染色体显性遗传¦inheritance law::继承法¦mendelian inheritance::[生]孟德尔氏遗传¦maternal inheritance::母体遗传	Lucinda has to fight for her life and her inheritance in this gripping novel.::在这部扣人心弦的小说里，露辛达不得不为自己的生命与所继承的遗产进行抗争。	n::[法]继承；[遗]遗传；遗产::heritage, legacy	adj::inherent:: 固有的；内在的；与生俱来的，遗传的¦adj::inherited:: 遗传的；继承权的；通过继承得到的¦adj::inheritable:: 可继承的；会遗传的¦n::inheritor:: 继承人；后继者¦n::inheritress:: 女继承人¦n::inheritrix:: 女继承人（等于inheritress）¦v::inherited:: 继承；经遗传而得（inherit的过去分词）¦vi::inherit:: 成为继承人¦vt::inherit:: 继承；遗传而得					
thrill	θrɪl	θrɪl	v:: 非常激动； 发抖::		His music continues to thrill audiences.::他的音乐依然能扣人心弦。	n::激动；[医]震颤；紧张::intensity, stress, tension, warmth, excitation¦vt::使…颤动；使…紧张；使…感到兴奋或激动::tie oneself up in knots¦vi::颤抖；感到兴奋；感到紧张::quake, judder	adj::thrilling:: 毛骨悚然的；令人兴奋的；颤动的¦n::thriller:: 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说					
short-term	,ʃɔrt'tɝm	'ʃɔːttɜːm	adj:: 短期的::continuing for only a short time, or relating only to the period that is not very far into the future	short-term memory::短期记忆，短时记忆¦short-term goal::短期目标；近期目标¦short-term loan::短期贷款	The treatment may bring short-term benefits to AIDS sufferers.::这种疗法对艾滋病患者可能会有短期效果。¦Most of the staff are on short-term contracts.::大部分职员签的都是短期合同。¦She’s suffering from short-term memory loss.::她患有短期失忆症。				 short(短的) + term(期间) → 短期的			
reptile	'rɛptaɪl	'reptaɪl	n:: 爬行动物， 爬虫类； 卑鄙的人::a type of animal, such as a snake or  lizard  , whose body temperature changes according to the temperature around it, and that usually lays eggs to have babies			adj::爬虫类的；卑鄙的::poor, mean, base, dirty¦n::[脊椎]爬行动物；卑鄙的人::insect, ratfink	adj::reptilian:: 爬虫类的；卑鄙的¦n::reptilian:: 爬虫类动物		 rept(爬) + ile → 爬行动物			
cassette	kə'sɛt	kə'set	n:: 盒式录音带::a small flat plastic case containing  magnetic tape  , that can be used for playing or recording sound	cassette tape::盒式录音带，盒式磁带¦cassette player::录音带放音机；卡式录音机¦cassette recorder::盒式录音机¦video cassette::录影带；盒式录象带¦video cassette recorder::磁带录像机（简写VCR）	His two albums released on cassette have sold 10 million copies.::他以磁带形式发行的两张专辑已售出1000万份。							
astound	ə'staʊnd	ə'staund	v:: 震惊::to make someone very surprised or shocked		The judge’s decision astounded everyone.::法官的判决使大家感到震惊。	vt::使惊骇；使震惊::shock, appall	adj::astounding:: 令人震惊的；令人惊骇的		 as + tound(看作sound， 声音) → 像被奇怪的声音吓倒 → 震惊			
blade	bled	bleɪd	n:: 刀片； 桨叶； 叶片::the flat wide part of an object that pushes against air or water	leaf blade::叶片¦saw blade::锯片；锯条¦turbine blade::涡轮叶片，透平叶片¦in the blade::尚未结穗的；在萌芽状态的¦rotor blade::转子叶片¦fan blade::风扇叶片；风机叶片¦cutting blade::刀片；切削片；切闲，切犀¦blade profile::叶片轮廓；叶片剖面；叶型桨叶轮廓¦razor blade::刮胡刀刀片；剃须刀片¦blade tip::叶尖；叶梢¦cutter blade::刀片；切割机刀片；切削刀¦wiper blade::雨刮器，雨刷；刮水片¦knife blade::刀片¦sharp blade::锐刀片；锋利的刀¦rotating blade::转动叶片，旋转叶片¦long blade::n. 长叶片¦blade angle::[机械学]桨叶角；（无心磨的）托板叶片安装角；刃口¦helical blade::螺旋叶片¦doctor blade::刮墨刀片；刮片¦shoulder blade::肩胛骨，肩胛	the blade of an oar::桨叶	n::[植][脊椎]叶片；[机]刀片，刀锋；剑::sword, vane	adj::bladed:: 有叶片的；有刀刃的（blade的形容词形式）		 热门电影《刀锋战士》英文为Blade			
solution	sə'luʃən	sə'luːʃn	n:: 解答， 解决办法； 溶解， 溶液::a way of solving a problem or dealing with a difficult situation	aqueous solution::水溶液¦optimal solution::最优解，最佳解¦in solution::在不断变化中；动摇不定；在溶解状态中¦numerical solution::数值解；数值解释；近似解¦analytical solution::分析解；分析解法¦acid solution::[化]酸溶液¦water solution::水溶液，水煎液¦analytic solution::解析解法，分析解¦standard solution::[化]标准溶液¦feasible solution::可行解释；适宜解¦solution polymerization::[化]溶液聚合¦optimum solution::最佳（优）解¦solution provider::方案供应商；解决方案提供者¦solid solution::固溶体¦general solution::通解；一般解¦approximate solution::[计]近似解¦exact solution::精确解¦alkaline solution::碱性溶液¦salt solution::盐溶液；盐水；食盐水¦solution concentration::溶液浓度	The best solution would be for them to separate.::最好的解决方法是他们分开。	n::解决方案；溶液；[化学]溶解；解答::liquor, dissolution	adj::solvent:: 有偿付能力的；有溶解力的¦adj::soluble:: [化学] 可溶的，可溶解的；可解决的¦adj::solute:: 溶解的¦adj::solved:: 解决了的¦adj::solvable:: 可以解决的；可以解的；可溶的¦n::solvent:: 溶剂；解决方法¦n::solute:: [化学] 溶质；[化学] 溶解物¦n::solvency:: 偿付能力；溶解力¦n::solubility:: 溶解度；可解决性¦n::solver:: 解决者；[计] 解算机；[数] 求解程序¦n::solvation:: [化学] 溶解；[化学] 溶剂化作用；溶化¦n::solubleness:: 溶解度，可溶性¦n::solvability:: [数] 可解性；解决之可能性；溶解度¦v::solved:: 解决（solve的过去式）；解答¦v::solving:: 解决¦vi::solve:: 作解答¦vt::solve:: 解决；解答；溶解					
diverge	daɪ'vɝdʒ	daɪ'vɜːdʒ	vi:: 分开， 岔开； 分歧， 相异； 偏离， 违背::if opinions, interests etc diverge, they are different from each other	diverge from::背道而驰；背离	The two species diverged millions of years ago.::这两个物种从数百万年前开始朝不同方向演变。	vi::分歧；偏离；分叉；离题::stray from, deviate from¦vt::使偏离；使分叉::deviate	adj::divergent:: 相异的，分歧的；散开的¦adj::diverging:: 发散的；分歧的；岔开的（等于divergent）¦adj::divaricate:: 分叉的¦n::divergence:: 分歧¦n::divarication:: 分歧；分叉；意见不同；分支¦n::divergency:: 分离；分歧¦v::diverging:: 分叉；背离（diverge的现在分词）¦vi::divagate:: 离题；流浪；漫游¦vi::divaricate:: 叉开；分歧¦vt::divaricate:: 使分成两叉		 di(分离) + verg(转) + e → 分别转换方向 → 分开， 岔开； 分歧			
opponent	ə'ponənt	ə'pəunənt	adj:: 对立的， 对抗的::¦n::敌手，对手；反对者::someone who you try to defeat in a competition, game, fight, or argument		Graf’s opponent in today’s final will be Sukova.::格拉芙今天的决赛对手将是苏科娃。¦He is admired even by his political opponents.::他甚至受到政敌的钦佩。	n::对手；反对者；敌手::equal, anti, comparative, rival, match¦adj::对立的；敌对的::contrary, adverse, against			 op(反) + pon(放) + ent → 处于对立面的 → 对手， 敌手； 对立的， 对抗的			
host	host	həust	v:: 主办； 招待::to provide the place and everything that is needed for an organized event¦n::主人；东道主；主办方；大量，许多::someone at a party, meal etc who has invited the guests and who provides the food, drink etc	a host of::许多，一大群；众多，大量¦host country::东道国；主办国；所在国¦host city::n. 主办城市；举办城市¦host computer::[计]主机¦host family::寄宿家庭；接待留学生的家庭¦host rock::主岩；母岩；容矿岩¦host plant::寄主植物¦host cell::宿主细胞¦host name::[计]主机名¦host nation::东道国¦remote host::[计]远程主机¦host machine::主机¦host system::[计]主系统；值统¦play host to::v. 招待¦intermediate host::中间宿主¦host range::宿主范围；寄侄围¦host address::主机地址¦host processor::主处理机¦host file::[计]主文件	Which country is going to host the next World Cup?::哪个国家将主办下一届世界杯？	n::[计]主机；主人；主持人；许多::lots of, sea, hundred, master, thousands of¦vt::主持；当主人招待::to chair, preside over¦vi::群集；做主人::pack, troop	adv::hospitably:: 招待周到地；亲切地；善于款待地¦n::hostess:: 女主人，女老板；女服务员；舞女；女房东¦n::hostage:: 人质；抵押品¦n::hosteller:: 旅馆主人					
supplementary	,sʌplɪ'mɛntri	ˌsʌplɪ'mentri	adj::  增补的， 补充的::provided in addition to what already exists	supplementary agreement::补充协议；增补协议¦supplementary food::补料¦supplementary civil action::附带民事诉讼¦supplementary pension::企业年金；辅助退休金¦supplementary contract::补充契约¦supplementary provision::补充规定；追加拨款，增补拨款；追加备付款项	supplementary information::补充信息	adj::补充的；追加的::complementary, adscititious¦n::补充者；增补物::enlargement	adj::supplemental:: 补充的（等于supplementary）；追加的¦adj::supplying:: 供应的¦n::supply:: 供给，补给；供应品¦n::supplement:: 补充，补遗；补充物；附录¦n::supplying:: 供应；补给¦n::supplementation:: 补充；增补¦v::supplying:: 供应；补充；代理（supply的ing形式）¦vi::supply:: 供给；替代¦vt::supply:: 供给，提供；补充¦vt::supplement:: 补充，增补		 sup(在下面) + ple(填满) + ment + ary → 在下面填满的 → 增补的， 补充的			
accelerate	əkˈsɛləˌret	ək'seləreɪt	v:: 加速； 促进::if a process accelerates or if something accelerates it, it happens faster than usual or sooner than you expect		measures to accelerate the rate of economic growth::加快经济增长速度的措施	vi::加速；促进；增加::improve, increase speed	adj::accelerated:: 加速的；加快的¦adj::accelerating:: 促进的，[物] 加速的；催化的¦adj::accelerative:: 加速的；促进的；催促的¦adj::acceleratory:: 加速的；催促的（等于accelerative）¦n::acceleration:: 加速，促进；[物] 加速度¦n::accelerator:: 油门；催化剂；[机] 加速装置¦n::accelerometer:: [航][物] 加速计¦v::accelerated:: 加速；促进（accelerate的变形）		 ac(=to) + celer(快速的) + ate(使…) → 加速； 促进			
